Country,Region,Electricity_generated_kW,Education_expenditure_percent_GDP,Energy_consumption_per_capita_BtuPerPerson,Reserves_of_foreign_exchange_dollars
SAINT KITTS AND NEVIS,Central America and the Caribbean,72000.0,2.5,81454000.0,294748000.0
CENTRAL AFRICAN REPUBLIC,Africa,63000.0,2.2,954000.0,479593000.0
GRENADA,Central America and the Caribbean,60000.0,3.6,41703000.0,423263000.0
SAINT VINCENT AND THE GRENADINES,Central America and the Caribbean,55000.0,5.7,37253000.0,316824000.0
SAMOA,Australia and Oceania,54000.0,4.8,23476000.0,507740000.0
DOMINICA,Central America and the Caribbean,41000.0,5.5,36395000.0,155971000.0
VANUATU,Australia and Oceania,39000.0,2.2,12934000.0,643768000.0
SOLOMON ISLANDS,Australia and Oceania,37000.0,12.8,5655000.0,688220000.0
TONGA,Australia and Oceania,34000.0,6.6,23272000.0,396530000.0
COMOROS,Africa,32000.0,2.6,7139000.0,322436000.0
SAO TOME AND PRINCIPE,Africa,29000.0,5.0,8875000.0,46247000.0
GUINEA-BISSAU,Africa,29000.0,2.7,2351000.0,356400000.0
